Plato,Componente,Ingredientes principales,Ingredientes normales,Fuente
Arroz Tapado a lo Pobre,Arroz,"Carne, carne picada","Manteca, Pasta de ajo, Sal, Arroz (añejo).",https://youtu.be/lt-47IbBpo4?list=TLGGNqtLVMiFgOwxODEyMjAyNQ
,Relleno,,"Manteca, Carne picada o molida, Sal, Pimienta molida, Comino molido, Cebolla, Pasta de ajo, Pasta de ají panca, Tomate, Pasas, Laurel, Caldo, Arvejas, Perejil, Culantrillo, Aceitunas, Orégano seco.",
,Armado,,"Plátano maduro, Huevo, Perejil.",
Seco de Pollo a la Norteña,Guiso (Seco),Pollo,"Pollo, Sal, Pimienta, Comino, Aceite, Cebolla, Ajo, Pasta de ají amarillo, Espinaca, Chicha de jora, Loche, Pimiento rojo, Cerveza negra, Cerveza rubia, Laurel, Zanahoria, Arvejita, Papa blanca.",https://youtu.be/PYkiEwJM9Hg?list=TLGGY21txzvvB_YxODEyMjAyNQ
,Arroz a la Jardinera,,"Mantequilla, Ajo, Palillo, Pasta de ají amarillo, Arroz costeño extra añejo, Laurel, Sal, Arvejita, Zanahoria, Choclo.",
Guiso de Trigo,Guiso,"Trigo, pescado","Trigo, Pasta de ají amarillo, Cebolla, Ajo, Camarón deshidratado, Queso fresco, Leche, Hierbabuena, Culantro, Aceite, Pimienta, Sal.",https://youtu.be/9eNAT_RE__A?list=TLGG62uP9MKI69cxODEyMjAyNQ
,Pescado,,"Filete de pescado (corvina), Ajo, Romero fresco, Pimienta negra, Sal, Aceite vegetal.",
,Chalaquita,,"Tomate, Cocona, Cebolla, Culantro, Limón, Ají charapita, Sal, Sazonador.",
Asado de Cerdo,Asado,"Cerdo, chancho, frijol, frejol","Carne de cerdo (pierna), Pimienta, Comino, Sal, Aceite vegetal, Ralladura de naranja, Romero, Canela.",https://youtu.be/RAD8pwYpjLw?list=TLGGyQAFJOFWSqwxODEyMjAyNQ
,Salsa,,"Pimiento, Tomate, Cebolla morada, Ajo, Pasta de ají amarillo, Ají panca, Sal, Pimienta, Cerveza rubia.",
,Ensalada,,"Frijoles, Perejil, Ajo, Orégano, Cebolla, Zanahoria, Tomate Cherry, Culantro, Ají limo, Sal, Limón.",
Ceviche de Pollo,Guiso (Ceviche),Pollo,"Piernas con entrepierna de pollo, Aceite vegetal, Sal, Comino, Pimienta, Cebolla roja, Ajo, Pasta de ají amarillo, Cerveza rubia, Caldo, Ají limo, Limón, Culantro.",https://youtu.be/0CnCzeoFSTA?list=TLGGGkDDXBHz7nsxODEyMjAyNQ
,Guarnición,,Camote amarillo.,
Aji de Gallina,Caldo,Pollo,"Zanahoria, Poro, Apio, Ajo, Sal, Pollo.",https://youtu.be/UdnT9ka7yAk?list=TLGGeO_lKgo0_z4xODEyMjAyNQ
,Crema,,"Aceite vegetal, Cebolla roja, Sal, Ajo, Comino, Pasta de ají amarillo (crudo), Pasta de ají mirasol, Pasta de ají panca, Pan, Caldo, Pollo desmenuzado, Leche evaporada, Queso parmesano, Nuez moscada.",
,Servicio,,"Papa amarilla o blanca, Arroz, Pecanas o nueces, Queso parmesano, Perejil, Aceitunas negras, Huevo duro.",
Arroz con Pato a la Chiclayana,Pato y Aderezo,Pato,"Pato hembra, Sal, Pimienta negra, Comino, Aceite, Grasa de pato, Cebolla, Ajo, Zapallo loche, Pasta de ají amarillo, Culantro licuado, Chicha de jora (o cerveza), Caldo de huesos.",https://youtu.be/exCFj-8KSKo?list=TLGGX6A_Wdz10z0xODEyMjAyNQ
,Arroz,,"Caldo de pato, Arroz, Zapallo loche, Arvejas, Sal, Pimiento.",
Asado Pejerrey con Pasta,Asado,"Pescado, pejerrey","Asado pejerrey, Sal, Pimienta negra, Aceite, Poro, Zanahoria, Apio, Ajo, Pasta de tomate, Pasta de ají panca, Hongos, Laurel, Vino tinto, Fondo/Caldo, Chuño.",https://youtu.be/8u_uxtjLB74?list=TLGGk_gGGIBHkU4xODEyMjAyNQ
,Pasta a la Crema,,"Mantequilla, Harina, Leche fresca, Crema de leche, Nuez moscada, Queso parmesano, Pasta (fetuccini).",
Carapulcra Chinchana,Carapulcra,"cerdo, chancho, pollo","Huesos de cerdo, Manteca de cerdo, Ajo, Comino, Pasta de ají panca, Caldo de chancho, Maní, Papa yungay, Pellejito de cerdo.",https://youtu.be/a7LaLKSi60I?list=TLGGe5UbT5B-Ts0xODEyMjAyNQ
,Sopa Seca,,"Albahaca, Caldo de pollo, Aceite vegetal, Semillas de achiote, Cebolla roja, Ajo, Pechuga de pollo, Pasta entrefino, Sal, Perejil.",
Arroz Chaufa de Pollo,Pollo,Pollo,"Pechuga de pollo, Caldo de pollo en polvo, Chuño/Maicena.",https://youtu.be/KsGQ7ELnd1M?list=TLGGSo6ShgZPg8cxODEyMjAyNQ
,Chaufa,,"Aceite, Kion, Huevo, Sal, Arroz (grano largo cocido), Azúcar, Salsa de soya (sillao), Cebolla china, Aceite de ajonjolí.",
Pollo Saltado,Saltado,Pollo,"Cebolla roja, Tomate, Ají amarillo, Pierna de pollo (con piel), Sal, Pimienta, Salsa de soya clara (sillao), Aceite vegetal, Vinagre, Salsa de ostión, Caldo de pollo, Culantro.",https://youtu.be/PPBTtb0gNbU?list=TLGGvznk1EZz8IsxODEyMjAyNQ
,Acompañamiento,,"Papas fritas, Arroz con choclo.",
Asado de Tira al Vino Tinto,Asado,"Carne, costilla","Asado de tira, Sal, Pimienta negra, Apio, Poro, Ajo, Zanahoria, Cebolla roja, Vino tinto, Harina, Tomillo, Mantequilla.",https://youtu.be/yA92FxmTI2c?list=TLGG9ueM4e3C8YIxODEyMjAyNQ
,Puré,,"Papa amarilla, Leche fresca entera, Mantequilla fría.",
Causa Acevichada,Masa de Causa,Pescado,"Papa amarilla, Aceite vegetal, Pasta de ají con ajo confitado, Jugo de limón, Sal.",https://youtu.be/c2WpDG4O1gI?list=TLGGK1frHjmevTUxODEyMjAyNQ
